Date;CHF/PLN;EUR/PLN
2023-09-18;4,8519;4,6377
2023-09-19;4,8505;4,6458
2023-09-20;4,8483;4,6529
2023-09-21;4,7809;4,621
2023-09-22;4,7752;4,6069
2023-09-25;4,747;4,5892
2023-09-26;4,7657;4,6077
2023-09-27;4,759;4,6065
2023-09-28;4,7973;4,634
2023-09-29;4,803;4,6356
2023-10-02;4,7869;4,6091
2023-10-03;4,7848;4,6147
2023-10-04;4,8065;4,6303
2023-10-05;4,7683;4,5974
2023-10-06;4,7768;4,5998
2023-10-09;4,7704;4,5793
2023-10-10;4,7537;4,5581
2023-10-11;4,7174;4,5183
2023-10-12;4,7398;4,5329
2023-10-13;4,747;4,5417
2023-10-16;4,7085;4,4804
2023-10-17;4,6676;4,4389
2023-10-18;4,6753;4,4488
2023-10-19;4,6989;4,4529
2023-10-20;4,7328;4,4675
2023-10-23;4,7083;4,4552
2023-10-24;4,6974;4,4604
2023-10-25;4,7236;4,4758
2023-10-26;4,7123;4,4708
2023-10-27;4,6935;4,4642
